g_r,g_n,y,g,r,r10,psi,u,u100,e100,e,q,psigr
27.629,6.065,12.517,8.319,NA,NA,116.477,NA,NA,NA,NA,NA,69.1894793
26.248,5.971,12.483,7.681,NA,NA,114.87,NA,NA,NA,NA,NA,68.1083898
30.261,5.861,12.457,7.455,NA,NA,116.722,NA,NA,NA,NA,NA,67.9815574
36.094,6.024,12.652,8.898,NA,NA,115.096,NA,NA,NA,NA,NA,67.8235002
35.623,6.374,12.843,9.811,NA,NA,115.269,3.733333333,0.037333333,0.962666667,96.26666667,NA,67.0009551
37.686,6.161,13.055,10.418,NA,NA,115.224,3.666666667,0.036666667,0.963333333,96.33333333,NA,66.5417057
36.489,6.176,13.129,10.525,NA,NA,115.219,3.766666667,0.037666667,0.962333333,96.23333333,NA,67.2469079
33.815,6.32,13.144,10.022,NA,NA,114.277,3.833333333,0.038333333,0.961666667,96.16666667,NA,66.8173599
31.322,6.03,12.963,8.525,NA,NA,114.583,4.666666667,0.046666667,0.953333333,95.33333333,NA,66.9720568
30.798,5.806,12.919,7.392,NA,NA,114.789,5.866666667,0.058666667,0.941333333,94.13333333,NA,67.3497904
33.431,5.54,13.052,8.005,NA,NA,112.625,6.7,0.067,0.933,93.3,NA,66.6976312
37.506,5.472,12.943,7.611,NA,NA,113.26,6.966666667,0.069666667,0.930333333,93.03333333,NA,67.4385633
41.692,5.63,13.451,9.418,NA,NA,111.958,6.4,0.064,0.936,93.6,NA,66.8639053
45.688,6.1,13.862,10.426,NA,NA,112.627,5.566666667,0.055666667,0.944333333,94.43333333,NA,66.5366277
48.183,6.605,14.397,11.322,NA,NA,111.193,4.633333333,0.046333333,0.953666667,95.36666667,NA,66.3394683
45.938,6.595,14.673,12.76,NA,NA,111.498,4.233333333,0.042333333,0.957666667,95.76666667,NA,66.0582524
43.56,6.423,14.872,11.457,NA,NA,110.933,3.5,0.035,0.965,96.5,NA,66.9666292
37.741,6.5,15.13,11.722,NA,NA,112.234,3.1,0.031,0.969,96.9,NA,67.4817518
35.359,6.576,15.442,10.859,NA,NA,110.29,3.166666667,0.031666667,0.968333333,96.83333333,NA,67.3601148
35.699,6.468,15.476,9.994,NA,NA,111.365,3.366666667,0.033666667,0.966333333,96.63333333,47.3793271,67.2874209
36.634,6.531,15.641,10.255,NA,NA,111.874,3.066666667,0.030666667,0.969333333,96.93333333,47.23892051,68.1375956
37.314,6.635,15.675,9.481,NA,NA,112.787,2.966666667,0.029666667,0.970333333,97.03333333,49.31316038,68.4703434
36.952,6.118,15.788,9.99,NA,NA,113.47,3.233333333,0.032333333,0.967666667,96.76666667,48.99142731,68.6541738
38.948,6.66,16.306,10.709,NA,NA,113.161,2.833333333,0.028333333,0.971666667,97.16666667,44.08942436,68.1981101
39.576,7.021,16.609,10.94,NA,NA,113.372,2.7,0.027,0.973,97.3,42.07728278,68.1048258
39.707,7.091,16.738,11.002,2.43,2.996666667,113.679,2.566666667,0.025666667,0.974333333,97.43333333,37.74893686,68.3528296
38.221,7.249,16.644,10.772,2.286666667,2.916666667,113.975,2.733333333,0.027333333,0.972666667,97.26666667,35.49125982,68.3828174
37.91,7.183,16.392,9.994,1.706666667,2.643333333,115.363,3.7,0.037,0.963,96.3,41.18252121,69.6341858
38.325,6.994,16.313,9.922,1.226666667,2.44,115.711,5.266666667,0.052666667,0.947333333,94.73333333,45.62259401,68.685567
40.824,6.931,16.331,9.898,0.876666667,2.346666667,114.875,5.8,0.058,0.942,94.2,52.08505425,68.064
43.31,7.108,16.516,10.376,0.916666667,2.346666667,113.882,5.966666667,0.059666667,0.940333333,94.03333333,61.13668703,67.5
46.02,7.099,16.839,10.831,1.173333333,2.473333333,113.217,5.333333333,0.053333333,0.946666667,94.66666667,62.3939496,66.9950739
49.404,7.22,17.32,11.913,1.516666667,2.646666667,111.308,4.733333333,0.047333333,0.952666667,95.26666667,65.00572905,66.2686567
50.114,7.65,17.601,12.638,1.853333333,2.763333333,111.498,4.4,0.044,0.956,95.6,76.14227893,66.4531159
49.047,8.03,17.839,12.832,2.25,2.946666667,111.928,4.1,0.041,0.959,95.9,82.53827967,66.7998858
46.989,8.27,17.946,13.129,2.533333333,2.91,112.247,4.233333333,0.042333333,0.957666667,95.76666667,81.52841094,66.7132867
45.788,8.168,17.877,12.754,2.56,2.9,114.321,4.033333333,0.040333333,0.959666667,95.96666667,87.7821286,67.2294492
45.551,8.315,18.024,12.654,2.866666667,3.083333333,115.256,4.2,0.042,0.958,95.8,80.40967726,67.3191952
44.69,8.398,18.008,12.541,3.07,3.273333333,115.564,4.133333333,0.041333333,0.958666667,95.86666667,74.05174613,67.3387097
44.024,8.399,18.305,12.424,3.466666667,3.473333333,115.584,4.133333333,0.041333333,0.958666667,95.86666667,83.55771665,67.3850197
43.42,8.443,18.422,12.232,3.39,3.403333333,114.58,3.933333333,0.039333333,0.960666667,96.06666667,73.58399077,67.1741935
42.392,8.426,18.381,12.219,3.54,3.626666667,115.475,4.1,0.041,0.959,95.9,81.65178605,67.3605757
41.833,8.597,18.561,12.499,3.963333333,3.926666667,114.786,4.233333333,0.042333333,0.957666667,95.76666667,66.7735137,67.5165732
41.779,8.398,18.37,11.538,3.586666667,3.633333333,115.658,4.933333333,0.049333333,0.950666667,95.06666667,66.76477648,67.8166838
40.136,7.865,17.893,10.76,2.16,3.04,116.862,6.3,0.063,0.937,93.7,73.26849838,68.29653
40.28,7.574,18.01,10.543,1.35,2.923333333,115.516,7.366666667,0.073666667,0.926333333,92.63333333,80.89166181,67.7722643
43.183,7.495,18.427,11.352,2.386666667,3.5,115.417,7.333333333,0.073333333,0.926666667,92.66666667,97.57133919,67.3808924
47.678,7.776,18.858,12.32,3.193333333,3.8,113.451,6.366666667,0.063666667,0.936333333,93.63333333,105.4118086,66.4794922
53.06,8.019,19.22,12.991,3.503333333,3.99,113.895,5.833333333,0.058333333,0.941666667,94.16666667,107.9923861,66.7143538
54.912,8.249,19.653,14.002,3.916666667,4.256666667,113.508,5.1,0.051,0.949,94.9,115.2897659,66.1968577
53.885,8.471,19.667,13.098,4.603333333,4.503333333,113.55,5.266666667,0.052666667,0.947333333,94.73333333,108.4228922,66.8374476
52.359,8.448,19.723,13.524,4.916666667,4.583333333,114.424,5.6,0.056,0.944,94.4,122.6713329,66.9048168
53.967,8.741,20.166,14.884,4.57,4.486666667,114.09,5.133333333,0.051333333,0.948666667,94.86666667,106.0439526,66.8082253
49.548,8.869,20.058,13.496,3.87,4.26,116.397,5.233333333,0.052333333,0.947666667,94.76666667,110.8050615,67.4787662
48.068,8.714,20.156,13.462,3.073333333,3.833333333,115.934,5.533333333,0.055333333,0.944666667,94.46666667,93.46320535,67.5066905
48.018,8.693,19.897,11.971,2.993333333,3.886666667,117.609,6.266666667,0.062666667,0.937333333,93.73333333,122.2649798,67.6589078
48.213,8.57,20.032,12.281,2.873333333,3.786666667,117.026,6.8,0.068,0.932,93.2,158.1977543,67.7613941
48.405,8.76,20.372,13.142,2.936666667,3.79,115.405,7,0.07,0.93,93,154.7214202,67.1984266
51.045,8.846,20.763,14.164,3.013333333,3.98,114.242,6.766666667,0.067666667,0.932333333,93.23333333,162.3376463,66.9738534
52.783,9.115,21.17,14.398,3.1,3.973333333,114.057,6.2,0.062,0.938,93.8,174.5996599,66.5623696
53.702,9.298,21.547,15.174,3.206666667,4.016666667,113.495,5.633333333,0.056333333,0.943666667,94.36666667,166.3559774,66.7760459
55.366,9.55,21.742,15.055,3.016666667,3.873333333,114.306,5.533333333,0.055333333,0.944666667,94.46666667,127.2072756,66.9561705
55.322,9.668,22.009,15.31,3.183333333,3.99,113.093,5.566666667,0.055666667,0.944333333,94.43333333,130.9424181,66.6999202
55.235,9.632,22.082,14.862,2.996666667,3.903333333,113.358,5.533333333,0.055333333,0.944666667,94.46666667,157.3168373,66.4568168
57.185,9.655,22.323,15.644,3.026666667,3.893333333,113.54,5.766666667,0.057666667,0.942333333,94.23333333,162.1895402,66.5824752
61.285,9.955,22.573,15.893,3.143333333,3.963333333,113.206,5.733333333,0.057333333,0.942666667,94.26666667,165.7877547,66.3105685
62.457,10.228,23.069,16.383,3.526666667,4.033333333,111.652,5.5,0.055,0.945,94.5,167.8445592,66.284533
64.418,10.527,23.221,16.582,3.73,4.12,112.31,5.566666667,0.055666667,0.944333333,94.43333333,159.1987552,66.3461538
68.376,10.747,23.71,17.202,3.826666667,4.18,110.976,5.466666667,0.054666667,0.945333333,94.53333333,163.7661664,66.0756287
64.974,10.999,23.968,17.14,3.86,4.2,111.272,5.2,0.052,0.948,94.8,162.9776597,66.269559
63.934,11.353,24.343,17.54,3.766666667,4.193333333,111.048,5,0.05,0.95,95,163.9709763,66.3698271
62.799,11.595,24.418,17.707,3.93,4.173333333,112.581,4.966666667,0.049666667,0.950333333,95.03333333,167.3111998,66.5689655
63.108,12.333,25.009,19.395,4.01,4.203333333,111.083,4.9,0.049,0.951,95.1,166.4934158,65.8565203
63.659,12.787,25.325,19.446,4.02,4.206666667,111.149,4.666666667,0.046666667,0.953333333,95.33333333,156.6575246,65.8054961
63.96,13.252,25.888,20.123,4.083333333,4.246666667,109.635,4.366666667,0.043666667,0.956333333,95.63333333,165.0973745,65.8442187
62.707,13.79,26.484,20.256,4.463333333,4.473333333,108.969,4.1,0.041,0.959,95.9,165.0548336,65.7853567
64.279,14.368,27.129,21.875,4.93,4.77,109.059,3.866666667,0.038666667,0.961333333,96.13333333,157.0861294,65.8006685
59.279,14.604,27.222,21.551,4.933333333,4.78,110.414,3.833333333,0.038333333,0.961666667,96.16666667,144.2135063,66.2097735
57.31,14.797,27.452,21.392,5.51,5.14,110.797,3.766666667,0.037666667,0.962333333,96.23333333,128.0700639,66.6179266
51.298,14.797,27.677,21.517,5.44,5.003333333,110.321,3.7,0.037,0.963,96.3,130.521023,66.637931
49.886,14.557,27.922,20.989,4.603333333,4.583333333,110.393,3.833333333,0.038333333,0.961666667,96.16666667,144.0939748,66.8848726
55.637,14.522,27.94,20.23,4.246666667,4.82,111.144,3.833333333,0.038333333,0.961666667,96.16666667,144.1516739,66.9576235
58.596,14.497,28.204,20.823,5.126666667,5.246666667,111.117,3.8,0.038,0.962,96.2,146.92885,67.1092669
61.99,14.789,28.417,21.272,5.563333333,5.643333333,111.243,3.9,0.039,0.961,96.1,148.8961773,67.026881
62.173,15.224,28.996,21.699,5.473333333,5.61,110.581,3.733333333,0.037333333,0.962666667,96.26666667,133.7187849,67.3299947
63.69,15.038,29.481,22.529,5.943333333,5.743333333,110.137,3.566666667,0.035666667,0.964333333,96.43333333,143.4278321,67.3175745
64.978,15.244,29.709,21.914,5.51,5.46,111.175,3.533333333,0.035333333,0.964666667,96.46666667,139.4651458,67.5628141
65.878,15.66,29.826,22.153,5.836666667,5.77,112.111,3.4,0.034,0.966,96.6,154.7644289,67.6044226
68.09,16.06,30.293,23.457,6.363333333,6.176666667,111.422,3.4,0.034,0.966,96.6,143.0600535,67.6403414
67.452,16.235,30.385,23.319,6.573333333,6.353333333,112.89,3.433333333,0.034333333,0.965666667,96.56666667,134.3040796,68.0954068
66.917,16.605,30.585,23.792,7.653333333,6.856666667,113.656,3.566666667,0.035666667,0.964333333,96.43333333,125.6621905,68.6090878
62.317,16.518,30.436,22.644,7.9,7.296666667,115.246,3.566666667,0.035666667,0.964333333,96.43333333,115.0101497,69.1235287
62.353,16.401,30.391,21.968,7.553333333,7.366666667,115.722,4.166666667,0.041666667,0.958333333,95.83333333,108.2097945,69.7086498
58.537,16.294,30.434,22.016,7.453333333,7.713333333,114.171,4.766666667,0.047666667,0.952333333,95.23333333,84.53436052,69.2110256
61.913,16.351,30.715,22.374,6.936666667,7.46,113.649,5.166666667,0.051666667,0.948333333,94.83333333,96.37706126,69.0177983
68.152,15.79,30.386,21.186,5.646666667,6.853333333,114.17,5.833333333,0.058333333,0.941666667,94.16666667,102.6068068,69.0410959
71.69,15.92,31.211,23.656,4.05,6.016666667,112.003,5.933333333,0.059333333,0.940666667,94.06666667,108.0071284,68.4738956
78.568,16.137,31.38,24.328,4.993333333,6.246666667,111.964,5.9,0.059,0.941,94.1,105.1285416,68.4297864
82.18,16.208,31.638,24.623,5.75,6.483333333,111.399,6.033333333,0.060333333,0.939666667,93.96666667,99.88356042,68.3008868
85.345,16.54,31.713,23.96,4.726666667,5.89,112.718,5.933333333,0.059333333,0.940666667,94.06666667,103.6719794,68.1927229
90.914,17.067,32.296,25.539,4.406666667,6.033333333,112.699,5.766666667,0.057666667,0.942333333,94.23333333,104.6103686,68.3651805
92.637,17.345,33.029,26.989,4.843333333,6.143333333,111.375,5.7,0.057,0.943,94.3,102.1241088,68.5744115
93.046,17.599,33.341,27.372,5.153333333,6.29,111.529,5.566666667,0.055666667,0.944333333,94.43333333,101.511446,68.0951499
96.334,18.442,33.899,27.544,5.436666667,6.373333333,111.989,5.366666667,0.053666667,0.946333333,94.63333333,109.8162927,67.9441261
99.551,19.216,34.738,29.158,6.31,6.603333333,111.75,4.933333333,0.049333333,0.950666667,95.06666667,100.1032033,68.0707228
94.392,19.93,35.116,30.401,7.016666667,6.806666667,112.023,4.933333333,0.049333333,0.950666667,95.06666667,90.4103215,68.363265
90.344,20.237,34.931,29.299,8.506666667,7.206666667,113.577,4.8,0.048,0.952,95.2,91.21059324,68.3495793
86.248,20.389,35.263,30.342,7.413333333,6.753333333,113.92,4.766666667,0.047666667,0.952333333,95.23333333,74.7367458,68.18145
80.64,20.368,34.96,28.61,7.353333333,7.053333333,114.213,5.133333333,0.051333333,0.948666667,94.86666667,69.12321266,68.4311224
77.385,20.333,35.043,28.496,8.69,7.543333333,113.385,5.2,0.052,0.948,94.8,60.67379932,68.3179096
74.793,20.126,34.712,27.019,9.01,7.963333333,114.399,5.633333333,0.056333333,0.943666667,94.36666667,43.07632302,68.3471263
65.055,19.597,34.577,27.183,7.673333333,7.67,113.069,6.6,0.066,0.934,93.4,39.17406799,68.135391
61.384,18.479,34.156,22.804,6.306666667,7.54,111.936,8.266666667,0.082666667,0.917333333,91.73333333,50.12311585,67.5940237
63.114,18.035,34.4,22.125,6.526666667,8.05,110.832,8.866666667,0.088666667,0.911333333,91.13333333,55.11681387,67.0072678
67.273,18.227,34.989,23.84,7.52,8.296666667,109.754,8.466666667,0.084666667,0.915333333,91.53333333,48.71533182,66.3244068
70.155,18.445,35.46,24.506,6.68,8.063333333,109.856,8.3,0.083,0.917,91.7,50.99897426,66.4324799
76.807,18.84,36.257,26.87,5.976666667,7.753333333,109.09,7.733333333,0.077333333,0.922666667,92.26666667,56.33841808,66.2531827
78.701,19.09,36.523,27.934,6.28,7.773333333,108.912,7.566666667,0.075666667,0.924333333,92.43333333,55.40666336,66.5573981
77.472,19.507,36.724,28.031,6.013333333,7.73,109.412,7.733333333,0.077333333,0.922666667,92.26666667,54.59503295,66.6834677
86.848,19.884,36.99,28.241,5.226666667,7.19,109.409,7.766666667,0.077666667,0.922333333,92.23333333,53.94412265,66.9505647
89.432,20.609,37.427,29.549,5.42,7.353333333,109.234,7.5,0.075,0.925,92.5,48.73667181,66.7566109
99.245,21.178,38.155,31.668,5.693333333,7.37,109.23,7.133333333,0.071333333,0.928666667,92.86666667,48.6507035,66.2100719
98.949,21.601,38.843,33.27,6.28,7.356666667,108.773,6.9,0.069,0.931,93.1,45.49730645,65.8350504
97.777,22.258,38.844,32.436,6.96,7.596666667,110.166,6.666666667,0.066666667,0.933333333,93.33333333,42.86814607,66.1757513
98.689,22.453,38.968,33.068,7.31,8.01,111.715,6.333333333,0.063333333,0.936666667,93.66666667,39.64482095,66.6453572
103.411,24.193,40.474,35.216,7.786666667,8.32,109.45,6,0.06,0.94,94,40.85905825,65.9024044
104.604,25.014,40.881,36.242,8.446666667,8.49,109.398,6.033333333,0.060333333,0.939666667,93.96666667,42.01634681,65.9660549
104.406,25.822,41.43,37.08,9.816666667,8.82,109.209,5.9,0.059,0.941,94.1,38.75609854,65.9137577
101.871,26.416,41.505,37.141,10.3,9.106666667,111.231,5.866666667,0.058666667,0.941333333,94.13333333,39.49641043,66.3649935
100.074,26.39,41.549,37.108,9.936666667,9.113333333,110.892,5.7,0.057,0.943,94.3,38.28921554,66.3989046
98.854,27.17,41.858,36.483,10.15333333,9.103333333,111.166,5.866666667,0.058666667,0.941333333,94.13333333,38.91229389,66.6636975
94.902,27.244,41.963,35.836,12.27,10.44666667,111.934,5.966666667,0.059666667,0.940333333,94.03333333,38.99444323,66.5972493
87.6,27.541,42.094,35.591,13.93333333,11.98666667,111.683,6.3,0.063,0.937,93.7,36.05993381,66.5609271
71.357,26.268,41.227,32.564,10.28333333,10.47666667,112.705,7.333333333,0.073333333,0.926666667,92.66666667,38.90371823,67.0650396
73.549,26.44,41.178,30.415,10.13666667,10.95333333,113.317,7.666666667,0.076666667,0.923333333,92.33333333,41.84550311,66.5590519
80.409,26.993,41.946,33.25,13.84,12.42333333,112.704,7.4,0.074,0.926,92.6,44.63894656,65.6871521
78.443,27.541,42.768,36.328,14.12,12.96,110.357,7.433333333,0.074333333,0.925666667,92.56666667,43.47411012,65.7570489
75.944,28.102,42.451,34.822,15.12666667,13.75,111.468,7.4,0.074,0.926,92.6,41.31949916,65.422042
70.049,28.754,42.959,36.785,16.32,14.84666667,110.574,7.4,0.074,0.926,92.6,35.72565591,64.595566
62.735,29.424,42.491,35.489,13.54666667,14.08666667,111.55,8.233333333,0.082333333,0.917666667,91.76666667,37.42513772,64.7598945
59.116,28.809,41.831,32.132,14.33333333,14.29333333,113.605,8.833333333,0.088333333,0.911666667,91.16666667,31.77229707,65.0221401
57.206,27.911,42.022,32.108,13.79666667,13.93,113.003,9.433333333,0.094333333,0.905666667,90.56666667,30.99946472,64.6119035
57.15,27.109,41.861,31.814,11.84,13.11666667,113.165,9.9,0.099,0.901,90.1,33.10413314,64.6803165
61.677,26.641,41.878,29.354,9.13,10.66666667,112.61,10.66666667,0.106666667,0.893333333,89.33333333,38.53399978,64.8600216
72.281,26.243,42.43,30.372,8.86,10.56333333,111.821,10.36666667,0.103666667,0.896333333,89.63333333,41.56376775,64.6761873
80.698,26.607,43.396,33.061,9.18,10.54333333,109.976,10.13333333,0.101333333,0.898666667,89.86666667,46.08013477,64.3838724
88.577,27.728,44.263,35.131,10.29666667,11.62666667,108.475,9.366666667,0.093666667,0.906333333,90.63333333,45.35502998,64.1509434
92.317,29.404,45.186,38.549,9.953333333,11.68666667,108.548,8.533333333,0.085333333,0.914666667,91.46666667,42.94148783,64.1029579
95.082,30.339,46.07,42.274,10.17666667,11.94333333,109.066,7.866666667,0.078666667,0.921333333,92.13333333,40.78666523,63.8371989
96.743,31.753,46.866,43.649,11.54666667,13.2,108.615,7.433333333,0.074333333,0.925666667,92.56666667,38.89461237,63.8810487
95.613,32.728,47.318,44.594,11.81,12.86666667,108.801,7.433333333,0.074333333,0.925666667,92.56666667,40.00796517,63.9217587
95.707,33.498,47.706,44.015,10.01666667,11.74333333,108.994,7.3,0.073,0.927,92.7,39.53415573,63.7630565
95.934,33.873,48.168,42.808,9.39,11.58333333,108.816,7.233333333,0.072333333,0.927666667,92.76666667,42.30498756,63.8835432
96.746,34.358,48.592,43.538,8.466666667,10.81333333,108.852,7.3,0.073,0.927,92.7,43.68604822,64.1544766
98.548,33.967,49.334,43.241,7.993333333,10.33666667,108.281,7.2,0.072,0.928,92.8,41.49711223,64.0189402
