g_r,g_n,y,g,r,r10,psi,u,u100,e100,e,q,psigr
100.697,34.582,49.701,44.834,7.853333333,9.76,109.644,7.033333333,0.070333333,0.929666667,92.96666667,45.41919948,64.5864563
104.786,34.239,50.165,44.821,7.456666667,8.556666667,109.346,7.033333333,0.070333333,0.929666667,92.96666667,49.61958869,64.6742937
110.805,33.545,50.391,44.039,6.606666667,7.603333333,109.664,7.166666667,0.071666667,0.928333333,92.83333333,51.56500645,64.8458014
112.321,33.16,50.873,42.854,5.99,7.306666667,110.406,6.966666667,0.069666667,0.930333333,93.03333333,47.4450285,65.3236932
112.625,33.48,51.147,42.982,5.796666667,7.263333333,111.686,6.833333333,0.068333333,0.931666667,93.16666667,50.96220086,65.6375129
112.432,32.689,51.528,44.142,5.923333333,7.193333333,112.05,6.6,0.066,0.934,93.4,58.75693172,65.7093254
112.819,33.348,52.083,44.165,6.766666667,8.343333333,111.494,6.266666667,0.062666667,0.937333333,93.73333333,59.61619317,65.2883147
111.886,34.275,52.535,44.172,7.126666667,8.876666667,111.739,6,0.06,0.94,94,61.93843613,64.9728628
112.07,34.231,53.437,47.182,7.24,9.123333333,111.608,5.833333333,0.058333333,0.941666667,94.16666667,50.66258784,65.2195099
110.074,34.505,53.713,44.917,6.78,8.416666667,112.386,5.7,0.057,0.943,94.3,52.98111548,65.2506392
111.436,35.277,54.419,45.987,7.3,8.91,112.433,5.466666667,0.054666667,0.945333333,94.53333333,54.32750235,65.366388
111.502,35.498,54.738,46.242,8.003333333,9.1,112.208,5.466666667,0.054666667,0.945333333,94.53333333,53.07145306,65.219106
112.223,35.992,55.467,46.948,8.526666667,8.956666667,111.498,5.333333333,0.053333333,0.946666667,94.66666667,53.85215366,64.8698885
111.138,36.569,56.031,48.541,9.29,9.206666667,111.182,5.2,0.052,0.948,94.8,53.62200755,65.0070703
107.654,37.063,56.459,48.072,8.926666667,8.773333333,109.93,5.233333333,0.052333333,0.947666667,94.76666667,56.50690614,65.0724698
107.156,38.006,56.877,47.64,8.096666667,8.106666667,109.618,5.233333333,0.052333333,0.947666667,94.76666667,60.38167618,65.1361
104.879,37.622,56.989,47.287,7.826666667,7.906666667,110.605,5.366666667,0.053666667,0.946333333,94.63333333,62.94193342,65.6707566
105.807,38.104,57.612,47.757,8.126666667,8.423333333,110.641,5.3,0.053,0.947,94.7,61.43016372,65.6924497
101.636,37.608,57.821,47.771,8.273333333,8.676666667,110.929,5.333333333,0.053333333,0.946666667,94.66666667,63.40090243,65.7038218
96.171,37.875,57.86,46.845,7.826666667,8.703333333,111.09,5.7,0.057,0.943,94.3,55.85684766,66.0469303
90.622,37.279,57.333,44.225,7.303333333,8.396666667,112.077,6.133333333,0.061333333,0.938666667,93.86666667,61.62183349,66.0879584
85.847,36.532,57.065,42.753,6.436666667,8.016666667,111.364,6.6,0.066,0.934,93.4,68.82223828,65.6601069
88.489,36.348,57.51,42.753,6.243333333,8.13,111.101,6.833333333,0.068333333,0.931666667,93.16666667,68.12071715,65.840691
91.481,36.035,57.8,43.6,5.886666667,7.94,110.746,6.866666667,0.068666667,0.931333333,93.13333333,72.21047481,65.975758
93.29,36.014,58.002,45.146,4.866666667,7.346666667,111.316,7.1,0.071,0.929,92.9,82.11043722,66.4075912
98.626,35.873,58.696,44.312,4.356666667,7.303333333,111.763,7.366666667,0.073666667,0.926333333,92.63333333,83.72305518,66.5230974
102.001,37.033,59.333,46.818,4.22,7.376666667,111.398,7.6,0.076,0.924,92.4,83.58986797,66.7074284
102.044,37.6,59.919,47.19,3.416666667,6.616666667,111.13,7.633333333,0.076333333,0.923666667,92.36666667,86.39763323,66.9617429
105.94,38.585,60.544,48.629,3.563333333,6.743333333,110.223,7.366666667,0.073666667,0.926333333,92.63333333,95.93561781,66.7612774
106.013,38.968,60.645,49.776,3.406666667,6.28,109.595,7.133333333,0.071333333,0.928666667,92.86666667,97.58874798,66.6743739
107.427,39.734,60.998,50.062,3.38,5.99,110.437,7.066666667,0.070666667,0.929333333,92.93333333,97.23617109,66.4575762
111.447,40.054,61.289,49.722,3.423333333,5.616666667,109.68,6.8,0.068,0.932,93.2,98.15839451,66.4427322
117.162,41.499,62.122,52.335,3.526666667,5.606666667,109.45,6.633333333,0.066333333,0.933666667,93.36666667,98.0035387,65.8869726
118.911,41.938,62.725,54.329,3.91,6.066666667,108.13,6.566666667,0.065666667,0.934333333,93.43333333,93.89340969,65.7916394
122.758,42.591,63.575,57,5.133333333,7.083333333,108.439,6.2,0.062,0.938,93.8,90.40179202,65.7235911
120.95,43.319,63.947,56.069,5.6,7.333333333,108.347,6,0.06,0.94,94,92.63746749,65.349677
119.089,45.009,64.679,58.376,6.596666667,7.836666667,107.499,5.633333333,0.056333333,0.943666667,94.36666667,89.91092382,65.0655091
116.383,46.672,64.909,58.989,6.726666667,7.483333333,107.614,5.466666667,0.054666667,0.945333333,94.53333333,94.23958155,65.1475797
112.796,47.12,65.102,57.764,5.97,6.62,107.541,5.666666667,0.056666667,0.943333333,94.33333333,98.60024185,64.9787651
116.972,47.42,65.656,57.42,5.653333333,6.323333333,107.784,5.666666667,0.056666667,0.943333333,94.33333333,103.0922369,64.5949625
119.245,48.339,66.102,58.846,5.443333333,5.893333333,107.801,5.566666667,0.055666667,0.944333333,94.43333333,106.919041,64.64336
122.348,49.564,66.597,59.791,5.123333333,5.91,107.957,5.533333333,0.055333333,0.944666667,94.46666667,109.415198,64.4816413
127.682,50.884,67.708,62.663,5.663333333,6.72,107.487,5.5,0.055,0.945,94.5,112.4192691,64.4808904
127.415,52.485,68.315,65.51,5.783333333,6.78,107.538,5.266666667,0.052666667,0.947333333,94.73333333,112.0980659,64.525613
125.967,53.817,69.025,65.424,5.48,6.343333333,107.51,5.333333333,0.053333333,0.946666667,94.66666667,107.9724454,64.4751673
126.611,55.067,69.47,66.745,5.646666667,6.563333333,108.34,5.233333333,0.052333333,0.947666667,94.76666667,104.833775,64.3096984
128.382,56.21,70.625,70.829,5.85,6.696666667,107.383,5,0.05,0.95,95,115.6835248,64.2775443
129.627,58.683,71.508,71.82,5.54,6.243333333,107.195,4.866666667,0.048666667,0.951333333,95.13333333,119.39213,64.0648847
130.995,59.058,72.122,72.892,5.483333333,5.906666667,108.35,4.666666667,0.046666667,0.953333333,95.33333333,116.4097751,64.3387914
133.709,60.975,72.843,76.07,5.313333333,5.586666667,109.468,4.633333333,0.046333333,0.953666667,95.36666667,127.3343104,65.0038111
138.344,63.035,73.517,75.6,5.41,5.596666667,110.172,4.4,0.044,0.956,95.6,127.7398152,65.0501499
142.389,64.032,74.438,77.544,5.093333333,5.203333333,110.137,4.533333333,0.045333333,0.954666667,95.46666667,118.5847886,64.9946679
145.732,65.9,75.641,79.937,4.39,4.67,109.991,4.433333333,0.044333333,0.955666667,95.56666667,132.7840181,65.4427021
146.293,67.36,76.355,82.132,4.663333333,4.983333333,110.332,4.3,0.043,0.957,95.7,135.4929178,65.3558468
148.571,69.148,76.993,82.184,4.88,5.54,110.061,4.266666667,0.042666667,0.957333333,95.73333333,142.8085796,65.5074486
149.688,71.128,78.012,84.439,5.16,5.883333333,109.671,4.233333333,0.042333333,0.957666667,95.76666667,136.981415,65.5928785
150.78,71.444,79.293,86.701,5.606666667,6.14,109.721,4.066666667,0.040666667,0.959333333,95.93333333,153.1201228,65.8280575
151.529,74.062,79.582,86.092,6.186666667,6.48,113.291,4.033333333,0.040333333,0.959666667,95.96666667,161.508965,66.2679591
150.751,76.375,81.031,91.188,6.216666667,6.176666667,110.93,3.933333333,0.039333333,0.960666667,96.06666667,151.2911758,66.0760878
148.406,77.206,81.112,90.294,6.13,5.893333333,112.484,4,0.04,0.96,96,144.0051996,66.2865409
148.559,77.496,81.594,90.466,5.9,5.566666667,111.591,3.9,0.039,0.961,96.1,124.2768053,66.5206165
149.2,76.802,81.329,86.362,4.596666667,5.05,114.083,4.233333333,0.042333333,0.957666667,95.76666667,114.2499495,66.5652093
151.513,75.213,81.835,86.485,3.78,5.27,112.144,4.4,0.044,0.956,95.6,120.7699078,66.2214534
152.457,74.323,81.507,84.614,3.303333333,4.98,111.527,4.833333333,0.048333333,0.951666667,95.16666667,105.6110874,66.2788398
151.479,72.188,81.733,80.423,2.243333333,4.77,110.944,5.5,0.055,0.945,94.5,119.7350168,66.9805572
156.445,70.457,82.41,82.796,2.32,5.076666667,109.189,5.7,0.057,0.943,94.3,119.0350894,66.1748831
160.326,69.662,82.917,84.156,2.343333333,5.1,109.479,5.833333333,0.058333333,0.941666667,94.16666667,106.4610823,65.9896349
160.796,69.436,83.252,84.032,1.813333333,4.26,108.933,5.733333333,0.057333333,0.942666667,94.26666667,92.25652722,65.8763316
163.688,68.501,83.361,83.98,1.53,4.006666667,108.907,5.866666667,0.058666667,0.941333333,94.13333333,93.30037872,65.369576
166.703,68.841,83.791,84.626,1.3,3.92,108.034,5.866666667,0.058666667,0.941333333,94.13333333,89.15057478,65.2272823
169.359,70.745,84.54,85.21,1.153333333,3.62,108.266,6.133333333,0.061333333,0.938666667,93.86666667,98.64865013,65.4032951
179.065,72.245,85.949,88.315,1.223333333,4.233333333,107.177,6.133333333,0.061333333,0.938666667,93.86666667,102.5017963,65.2726661
184.395,73.153,86.941,91.29,1.3,4.286666667,107.315,5.833333333,0.058333333,0.941666667,94.16666667,107.3586229,65.350133
186.538,72.43,87.439,91.471,1.223333333,4.02,106.427,5.7,0.057,0.943,94.3,105.6860386,64.9803595
192.453,74.241,88.12,95.125,1.776666667,4.6,106.825,5.6,0.056,0.944,94.4,103.9088406,64.9362645
193.825,76.363,88.95,96.601,2.08,4.303333333,107.588,5.433333333,0.054333333,0.945666667,94.56666667,98.21399774,64.8709892
196.499,77.931,89.859,98.616,2.466666667,4.173333333,106.528,5.433333333,0.054333333,0.945666667,94.56666667,102.9721511,64.6889997
201.138,79.062,90.857,101.389,3.063333333,4.296666667,105.143,5.3,0.053,0.947,94.7,100.7153217,63.9607995
204.852,80.34,91.299,100.04,3.336666667,4.16,105.118,5.1,0.051,0.949,94.9,100.2926715,63.6437019
207.097,82.015,92.016,101.362,3.786666667,4.213333333,104.735,4.966666667,0.049666667,0.950333333,95.03333333,99.80180221,63.6351473
206.69,82.649,92.539,104.657,4.286666667,4.49,104.4,4.966666667,0.049666667,0.950333333,95.03333333,95.84634598,62.8430707
204.754,85.421,93.787,106.211,4.633333333,4.57,105.031,4.733333333,0.047333333,0.952666667,95.26666667,98.79259255,62.9473182
194.509,86.915,94.017,105.526,5.02,5.07,104.376,4.633333333,0.046333333,0.953666667,95.36666667,92.86481807,62.4987399
183.74,88.405,94.159,105.119,5.09,4.896666667,104.357,4.633333333,0.046333333,0.953666667,95.36666667,92.72763779,62.2778313
175.191,89.342,94.953,103.079,4.986666667,4.63,105.253,4.433333333,0.044333333,0.955666667,95.56666667,94.63789766,63.0416116
167.297,90.951,95.232,102.37,5.01,4.68,106.73,4.5,0.045,0.955,95.5,95.86778771,63.7815256
160.705,92.969,95.84,103.499,4.933333333,4.846666667,105.61,4.5,0.045,0.955,95.5,97.22824009,63.1187383
150.49,94.428,96.417,102.455,4.523333333,4.73,104.641,4.666666667,0.046666667,0.953333333,95.33333333,97.60491772,63.6530741
137.977,95.884,97.005,101.194,3.62,4.26,104.8,4.8,0.048,0.952,95.2,94.49455067,64.1009388
127,96.265,96.61,98.531,2.1,3.663333333,106.31,5,0.05,0.95,95,94.23748765,64.4676176
121.247,96.46,97.163,96.745,2.073333333,3.886666667,104.848,5.333333333,0.053333333,0.946666667,94.66666667,93.94920409,64.2487336
115.096,94.659,96.651,94.805,2.123333333,3.863333333,104.688,6,0.06,0.94,94,90.40503764,63.8972308
103.894,89.147,94.541,85.685,0.993333333,3.253333333,106.392,6.866666667,0.068666667,0.931333333,93.13333333,80.3314689,65.1884342
93.819,82.431,93.439,75.783,0.566666667,2.736666667,102.529,8.266666667,0.082666667,0.917333333,91.73333333,76.42349866,63.5606583
88.052,79.923,93.28,71.414,0.52,3.313333333,103.524,9.3,0.093,0.907,90.7,91.59558163,63.7421863
92.143,79.457,93.618,71.251,0.446666667,3.516666667,102.635,9.633333333,0.096333333,0.903666667,90.36666667,99.86174585,63.2901578
91.952,79.987,94.618,77.839,0.35,3.46,101.601,9.933333333,0.099333333,0.900666667,90.06666667,105.44973,62.8460535
88.987,80.545,95.091,79.61,0.366666667,3.716666667,99.91,9.833333333,0.098333333,0.901666667,90.16666667,107.4342134,62.2785094
93.61,83.187,96.011,83.788,0.38,3.49,100.31,9.633333333,0.096333333,0.903666667,90.36666667,95.59435554,62.6484481
85.315,85.439,96.753,87.524,0.27,2.786666667,100.022,9.466666667,0.094666667,0.905333333,90.53333333,102.093556,62.0680012
86.726,87.1,97.256,87.246,0.256666667,2.863333333,99.583,9.5,0.095,0.905,90.5,122.1458704,62.0071491
86.433,86.982,97.022,85.601,0.273333333,3.46,101.648,9.033333333,0.090333333,0.909666667,90.96666667,124.13051,62.8734642
87.413,89.23,97.68,89.103,0.206666667,3.21,100.164,9.066666667,0.090666667,0.909333333,90.93333333,123.8159649,62.2704875
88.988,93.409,97.642,89.398,0.133333333,2.426666667,100.655,9,0.09,0.91,91,115.2169533,62.4462695
91.296,95.794,98.737,96.288,0.113333333,2.046666667,98.332,8.633333333,0.086333333,0.913666667,91.36666667,121.9204803,61.4081844
96.819,98.241,99.545,98.299,0.156666667,2.036666667,99.805,8.266666667,0.082666667,0.917333333,91.73333333,131.3466191,61.3288411
97.649,100.448,99.998,100.562,0.186666667,1.823333333,99.402,8.2,0.082,0.918,91.8,129.2721073,61.2262366
100.157,100.111,100.173,101.019,0.183333333,1.643333333,99.115,8.033333333,0.080333333,0.919666667,91.96666667,131.5110909,61.6082103
105.375,101.2,100.283,100.12,0.173333333,1.706666667,101.715,7.8,0.078,0.922,92.2,129.4641031,61.9542414
109.2,102.507,101.154,103.853,0.153333333,1.95,99.488,7.733333333,0.077333333,0.922666667,92.26666667,141.5144028,61.7495797
112.682,102.784,101.295,105.015,0.126666667,1.996666667,100.303,7.533333333,0.075333333,0.924666667,92.46666667,141.9551539,61.8214286
114.698,104.539,102.097,109.078,0.123333333,2.71,99.099,7.233333333,0.072333333,0.927666667,92.76666667,141.2460503,61.6768136
112.896,106.679,102.823,109.474,0.123333333,2.746666667,98.436,6.933333333,0.069333333,0.930666667,93.06666667,147.4745071,61.5552301
112.107,108.174,102.463,108.259,0.123333333,2.763333333,100.997,6.666666667,0.066666667,0.933333333,93.33333333,151.1581507,62.1198916
115.697,111.08,103.778,112.828,0.103333333,2.623333333,99.093,6.2,0.062,0.938,93.8,151.4889424,61.3103545
117.388,113.324,104.987,115.136,0.11,2.496666667,98.401,6.066666667,0.060666667,0.939333333,93.93333333,151.1845338,61.2272874
121.558,114.017,105.459,115.261,0.146666667,2.28,99.965,5.7,0.057,0.943,94.3,156.7305403,61.3395432
123.95,113.88,106.316,119.282,0.223333333,1.966666667,100.519,5.533333333,0.055333333,0.944666667,94.46666667,154.6954473,61.6990836
127.055,114.4,106.933,119.641,0.25,2.166666667,100.538,5.433333333,0.054333333,0.945666667,94.56666667,151.5668798,61.7060354
130.481,114.815,107.279,119.399,0.35,2.22,100.697,5.1,0.051,0.949,94.9,144.7587847,62.0183603
132.78,113.893,107.436,117.963,0.463333333,2.19,101.148,5.033333333,0.050333333,0.949666667,94.96666667,151.9083473,62.7178034
136.855,113.779,108.069,117.458,0.576666667,1.92,101.004,4.9,0.049,0.951,95.1,156.2187178,62.3326718
137.028,114.52,108.396,116.843,0.566666667,1.753333333,100.556,4.933333333,0.049333333,0.950666667,95.06666667,154.9197962,62.5387075
136.323,116.013,109.047,117.07,0.556666667,1.563333333,100.312,4.9,0.049,0.951,95.1,153.189485,62.5619551
138.026,116.762,109.589,120.056,0.756666667,2.13,100.318,4.766666667,0.047666667,0.952333333,95.23333333,154.570433,62.7270868
141.321,117.959,110.06,119.459,0.886666667,2.443333333,100.885,4.566666667,0.045666667,0.954333333,95.43333333,160.0194862,62.6111108
142.49,119.174,110.614,121.59,1.12,2.263333333,101.33,4.366666667,0.043666667,0.956333333,95.63333333,152.7216032,62.6068751
142.009,120.12,111.53,123.994,1.243333333,2.243333333,101.128,4.333333333,0.043333333,0.956666667,95.66666667,154.4272372,62.7261963
144.387,122.8,112.651,125.62,1.553333333,2.37,101.398,4.166666667,0.041666667,0.958333333,95.83333333,157.475837,62.9164652
142.26,125.453,113.432,127.506,1.94,2.76,101.265,4.033333333,0.040333333,0.959666667,95.96666667,156.532277,62.7583801
143.874,127.474,114.223,127.741,2.25,2.92,100.469,3.933333333,0.039333333,0.960666667,96.06666667,160.2915797,62.6626736
141.967,128.612,115.047,131.708,2.466666667,2.926666667,100.821,3.766666667,0.037666667,0.962333333,96.23333333,168.9436771,62.5514264
138.838,129.808,115.256,131.614,2.67,3.033333333,100.975,3.833333333,0.038333333,0.961666667,96.16666667,151.7048546,62.3195469
137.961,130.377,115.882,132.901,2.54,2.653333333,102.142,3.866666667,0.038666667,0.961333333,96.13333333,163.1810081,62.9102044
140.144,132.347,116.662,133.684,2.253333333,2.333333333,100.938,3.633333333,0.036333333,0.963666667,96.36666667,159.3958522,62.6280548
141.6,133.682,117.7,134.536,1.843333333,1.796666667,100.315,3.633333333,0.036333333,0.963666667,96.36666667,159.2417795,62.6519585
141.601,133.131,118.222,131.757,1.576666667,1.793333333,101.126,3.6,0.036,0.964,96.4,166.269279,62.6036873
147.391,130.306,116.832,130.061,1.09,1.376666667,103.651,3.8,0.038,0.962,96.2,143.2106377,63.3415883
136.052,119.449,106.92,110.011,0.173333333,0.686666667,106.528,12.96666667,0.129666667,0.870333333,87.03333333,168.2206579,62.0318336
153.386,125.084,115.318,129.461,0.136666667,0.65,102.097,8.833333333,0.088333333,0.911666667,91.16666667,176.3773443,61.4494432
164.856,128.531,116.429,134.934,0.116666667,0.863333333,105,6.766666667,0.067666667,0.932333333,93.23333333,187.6283771,62.3881017
169.443,131.29,118.225,133.09,0.083333333,1.316666667,102.336,6.2,0.062,0.938,93.8,191.0731125,61.7612741
167.346,134.42,120.243,133.379,0.06,1.593333333,101.904,5.933333333,0.059333333,0.940666667,94.06666667,195.0958706,61.4352424
164.861,134.629,121.033,136.704,0.076666667,1.323333333,102.581,5.133333333,0.051333333,0.948666667,94.86666667,187.187949,61.6819342
164.42,135.009,123.085,146.534,0.196666667,1.536666667,101.664,4.2,0.042,0.958,95.8,190.7118619,61.9488678
163.129,137.598,122.58,148.469,0.963333333,1.94,101.876,3.8,0.038,0.962,96.2,187.422878,61.940894
155.308,137.62,122.403,142.919,2.2,2.93,101.153,3.6,0.036,0.964,96.4,164.8332532,61.5031967
143.509,139.705,123.383,139.367,3.396666667,3.106666667,101.907,3.566666667,0.035666667,0.964333333,96.43333333,160.6365652,61.8476078
133.488,141.078,124.17,140.903,4.613333333,3.83,101.908,3.6,0.036,0.964,96.4,160.8582767,62.1618951