DATE,A006RE1Q156NBEA,A822RE1Q156NBEA
1947-01-01,14.7,16.6
1947-04-01,14,16.3
1947-07-01,14,15.8
1947-10-01,16.7,15.2
1948-01-01,17.8,15.4
1948-04-01,18.5,15.7
1948-07-01,18.8,16
1948-10-01,18.3,16.6
1949-01-01,15.7,17.7
1949-04-01,13.4,18.6
1949-07-01,14.5,18.5
1949-10-01,13.8,18.4
1950-01-01,16.6,17.4
1950-04-01,18,17.1
1950-07-01,19,16.1
1950-10-01,21.4,16.8
1951-01-01,19.2,18.5
1951-04-01,19.6,20.3
1951-07-01,17.6,22.2
1951-10-01,16,23.4
1952-01-01,16.2,23.6
1952-04-01,14.7,24.6
1952-07-01,15.6,24.7
1952-10-01,15.9,24.5
1953-01-01,15.9,24.7
1953-04-01,15.9,25
1953-07-01,15.7,24.7
1953-10-01,14.6,25.1
1954-01-01,14.5,24.6
1954-04-01,14.4,24
1954-07-01,15.1,23.3
1954-10-01,15.5,22.9
1955-01-01,16.6,22.2
1955-04-01,17.2,22
1955-07-01,17.4,21.9
1955-10-01,18,21.4
1956-01-01,17.8,21.6
1956-04-01,17.3,22.0
1956-07-01,17.3,21.8
1956-10-01,16.8,22
1957-01-01,16.5,22.4
1957-04-01,16.5,22.4
1957-07-01,16.5,22.4
1957-10-01,15.0,23.2
1958-01-01,14.3,23.5
1958-04-01,13.8,24.1
1958-07-01,14.8,23.7
1958-10-01,16,23.6
1959-01-01,16.3,23
1959-04-01,17.1,22.7
1959-07-01,15.9,22.8
1959-10-01,16.4,22.4
1960-01-01,17.8,21.6
1960-04-01,16.1,21.9
1960-07-01,15.8,22.4
1960-10-01,14.1,23.0
1961-01-01,14.4,23.2
1961-04-01,15.1,22.9
1961-07-01,16,22.9
1961-10-01,16,23.0
1962-01-01,16.5,23.1
1962-04-01,16.1,23.1
1962-07-01,16.1,23.3
1962-10-01,15.5,23.4
1963-01-01,16,23.1
1963-04-01,16.1,22.9
1963-07-01,16.2,23.3
1963-10-01,16.4,23.1
1964-01-01,16.5,22.8
1964-04-01,16.3,22.7
1964-07-01,16.3,22.5
1964-10-01,16.5,22.4
1965-01-01,17.6,21.9
1965-04-01,17.4,21.9
1965-07-01,17.5,22.3
1965-10-01,17.3,22.4
1966-01-01,18.1,22.2
1966-04-01,17.8,22.6
1966-07-01,17.5,23.1
1966-10-01,17.5,23.2
1967-01-01,16.9,24.0
1967-04-01,16.2,24.0
1967-07-01,16.5,24.1
1967-10-01,16.8,24.2
1968-01-01,16.7,24.2
1968-04-01,17,23.9
1968-07-01,16.4,23.9
1968-10-01,16.6,23.9
1969-01-01,17.4,23.5
1969-04-01,17.1,23.5
1969-07-01,17.2,23.5
1969-10-01,16.5,23.4
1970-01-01,16,23.6
1970-04-01,16.1,23.3
1970-07-01,16,23.4
1970-10-01,15.3,23.8
1971-01-01,16.7,23.1
1971-04-01,17.1,23.0
1971-07-01,17.2,22.9
1971-10-01,16.7,22.9
1972-01-01,17.3,22.9
1972-04-01,17.9,22.6
1972-07-01,18.1,22.0
1972-10-01,18,22
1973-01-01,18.5,21.7
1973-04-01,19.0,21.4
1973-07-01,18.4,21.2
1973-10-01,19,21.2
1974-01-01,18,21.8
1974-04-01,18.1,21.9
1974-07-01,17.4,22.2
1974-10-01,17.6,22.5
1975-01-01,15.1,22.9
1975-04-01,14.7,22.6
1975-07-01,15.5,22.5
1975-10-01,15.7,22.5
1976-01-01,16.7,22.0
1976-04-01,17.4,21.6
1976-07-01,17.4,21.4
1976-10-01,17.5,21.2
1977-01-01,18.1,21.2
1977-04-01,19.0,21
1977-07-01,19.5,20.7
1977-10-01,19.5,20.6
1978-01-01,19.7,20.5
1978-04-01,20.2,20.3
1978-07-01,20.6,20.2
1978-10-01,20.8,20
1979-01-01,20.8,19.9
1979-04-01,20.8,19.9
1979-07-01,20.5,20.0
1979-10-01,20.1,20.1
1980-01-01,19.9,20.4
1980-04-01,18.6,21
1980-07-01,17.3,20.7
1980-10-01,18.5,20.4
1981-01-01,19.8,20.3
1981-04-01,19.3,20.5
1981-07-01,20,20.2
1981-10-01,19.6,20.7
1982-01-01,18,21
1982-04-01,17.8,21.1
1982-07-01,17.6,21.3
1982-10-01,16.1,21.7
1983-01-01,16.3,21.5
1983-04-01,17.2,21.3
1983-07-01,17.7,21.2
1983-10-01,18.9,20.4
1984-01-01,20.2,20.3
1984-04-01,20.4,20.4
1984-07-01,20.5,20.5
1984-10-01,20.0,20.8
1985-01-01,19.1,20.7
1985-04-01,19.3,21.0
1985-07-01,18.7,21.1
1985-10-01,19.3,21.1
1986-01-01,19.2,21.0
1986-04-01,18.8,21.3
1986-07-01,18.1,21.6
1986-10-01,18.1,21.4
1987-01-01,18.4,21.4
1987-04-01,18.2,21.3
1987-07-01,17.9,21.2
1987-10-01,18.9,21.1
1988-01-01,17.9,20.8
1988-04-01,18.0,20.6
1988-07-01,17.8,20.4
1988-10-01,17.8,20.6
1989-01-01,18.2,20.3
1989-04-01,17.8,20.4
1989-07-01,17.5,20.4
1989-10-01,17.3,20.5
1990-01-01,17.2,20.6
1990-04-01,17,20.6
1990-07-01,16.6,20.7
1990-10-01,15.8,21.1
1991-01-01,15.3,21.3
1991-04-01,15.1,21.2
1991-07-01,15.3,21.0
1991-10-01,15.6,20.9
1992-01-01,15,20.8
1992-04-01,15.7,20.6
1992-07-01,15.6,20.6
1992-10-01,15.8,20.4
1993-01-01,16.1,20.1
1993-04-01,16.1,20.0
1993-07-01,15.9,19.9
1993-10-01,16.4,19.7
1994-01-01,16.9,19.3
1994-04-01,17.5,19.2
1994-07-01,17.1,19.4
1994-10-01,17.5,19.1
1995-01-01,17.6,19.1
1995-04-01,17.2,19.2
1995-07-01,17.0,18.9
1995-10-01,17.2,18.7
1996-01-01,17.2,18.7
1996-04-01,17.7,18.5
1996-07-01,18.1,18.4
1996-10-01,17.9,18.4
1997-01-01,18.2,18.1
1997-04-01,18.7,18.1
1997-07-01,18.8,18.0
1997-10-01,18.8,18.0
1998-01-01,19.3,17.7
1998-04-01,18.9,17.9
1998-07-01,19.1,17.8
1998-10-01,19.3,17.7
1999-01-01,19.7,17.7
1999-04-01,19.4,17.8
1999-07-01,19.5,17.9
1999-10-01,19.7,18
2000-01-01,19.5,17.9
2000-04-01,20.3,17.8
2000-07-01,20.0,17.8
2000-10-01,19.8,17.8
2001-01-01,18.8,18.2
2001-04-01,18.6,18.4
2001-07-01,18.4,18.4
2001-10-01,17.4,18.7
2002-01-01,17.7,18.9
2002-04-01,17.8,19.1
2002-07-01,17.6,19.1
2002-10-01,17.6,19.4
2003-01-01,17.5,19.4
2003-04-01,17.4,19.4
2003-07-01,17.7,19.2
2003-10-01,18.1,19.1
2004-01-01,18.1,19.2
2004-04-01,18.7,19.2
2004-07-01,18.8,19.1
2004-10-01,19.1,19.1
2005-01-01,19.5,19.0
2005-04-01,19.2,19
2005-07-01,19.3,19.0
2005-10-01,19.9,19
2006-01-01,19.9,19
2006-04-01,19.7,19.0
2006-07-01,19.5,19.0
2006-10-01,19.1,19.0
2007-01-01,18.7,19.1
2007-04-01,18.7,19.2
2007-07-01,18.4,19.3
2007-10-01,18.0,19.5
2008-01-01,17.4,19.8
2008-04-01,17.1,20.0
2008-07-01,16.8,20.3
2008-10-01,15.8,20.7
2009-01-01,14.0,20.9
2009-04-01,13.0,21.4
2009-07-01,12.7,21.4
2009-10-01,13.6,21.3
2010-01-01,13.8,21.2
2010-04-01,14.3,21.1
2010-07-01,14.8,20.9
2010-10-01,14.6,20.7
2011-01-01,14.4,20.6
2011-04-01,14.8,20.4
2011-07-01,14.8,20.0
2011-10-01,15.8,19.8
2012-01-01,16.0,19.6
2012-04-01,16.3,19.3
2012-07-01,16.2,19.2
2012-10-01,16.1,19.1
2013-01-01,16.5,18.8
2013-04-01,16.6,18.7
2013-07-01,17.1,18.5
2013-10-01,17.1,18.3
2014-01-01,17.0,18.3
2014-04-01,17.5,18.0
2014-07-01,17.6,17.9
2014-10-01,17.7,17.8
2015-01-01,18.2,17.6
2015-04-01,18.0,17.7
2015-07-01,18.0,17.7
2015-10-01,17.8,17.7
2016-01-01,17.5,17.7
2016-04-01,17.3,17.6
2016-07-01,17.3,17.5
2016-10-01,17.6,17.5
2017-01-01,17.4,17.4
2017-04-01,17.7,17.3
2017-07-01,17.8,17.3
2017-10-01,17.8,17.3
2018-01-01,17.9,17.3
2018-04-01,17.8,17.3
2018-07-01,18.2,17.4
2018-10-01,18.2,17.5
2019-01-01,18.2,17.6
2019-04-01,18.2,17.6
2019-07-01,18.2,17.6
2019-10-01,17.7,17.6
2020-01-01,17.5,18.2
2020-04-01,16.3,20.2
2020-07-01,18.0,18.5
2020-10-01,18.3,18.2
2021-01-01,17.8,18.3
2021-04-01,17.2,17.9
2021-07-01,17.7,17.6
2021-10-01,18.6,17.3
2022-01-01,19.0,17.3
2022-04-01,18.6,17.3
2022-07-01,18.2,17.2
2022-10-01,18.2,17.3
2023-01-01,17.6,17.3
2023-04-01,17.7,17.3
2023-07-01,17.8,17.4
